n,m,parseTime,SATime,SearchTime,Description
37,15,121,19,4,sameChar
37,16,119,19,5,sameChar
37,17,109,19,2,sameChar
37,18,108,19,2,sameChar
37,19,108,24,2,sameChar
37,20,116,20,4,sameChar
37,21,113,19,3,sameChar
37,22,139,21,3,sameChar
37,23,147,19,3,sameChar
37,24,134,20,3,sameChar
37,25,113,20,3,sameChar
37,26,122,20,3,sameChar
37,27,128,19,3,sameChar
37,28,113,19,4,sameChar
37,29,129,20,3,sameChar
37,30,162,20,3,sameChar
37,31,130,19,3,sameChar
37,32,155,19,3,sameChar
37,33,149,19,4,sameChar
37,34,152,19,4,sameChar
37,35,153,19,5,sameChar
37,36,123,19,3,sameChar
38,1,115,22,2,sameChar
38,2,160,20,2,sameChar
38,3,117,20,2,sameChar
38,4,123,21,2,sameChar
38,5,131,20,2,sameChar
38,6,135,20,2,sameChar
38,7,116,19,2,sameChar
38,8,116,20,2,sameChar
38,9,116,22,2,sameChar
38,10,112,21,2,sameChar
38,11,107,21,2,sameChar
38,12,111,20,2,sameChar
38,13,107,20,2,sameChar
38,14,106,20,4,sameChar
38,15,107,20,2,sameChar
38,16,110,20,2,sameChar
38,17,105,20,3,sameChar
38,18,107,20,3,sameChar
38,19,103,29,3,sameChar
38,20,270,20,3,sameChar
38,21,108,21,3,sameChar
38,22,104,21,3,sameChar
38,23,120,21,3,sameChar
38,24,105,21,3,sameChar
38,25,123,20,3,sameChar
38,26,112,20,4,sameChar
38,27,116,21,3,sameChar
38,28,125,20,3,sameChar
38,29,105,20,5,sameChar
38,30,134,20,4,sameChar
38,31,125,21,4,sameChar
38,32,135,20,5,sameChar
38,33,157,20,4,sameChar
38,34,144,20,3,sameChar
38,35,143,21,4,sameChar
38,36,261,20,6,sameChar
38,37,127,29,4,sameChar
39,1,150,22,1,sameChar
39,2,120,22,1,sameChar
39,3,110,21,2,sameChar
39,4,119,22,1,sameChar
39,5,102,21,2,sameChar
39,6,111,21,1,sameChar
39,7,115,22,3,sameChar
39,8,113,21,2,sameChar
39,9,133,21,2,sameChar
39,10,107,21,2,sameChar
39,11,103,21,4,sameChar
39,12,103,20,2,sameChar
39,13,102,21,2,sameChar
39,14,104,21,2,sameChar
39,15,109,22,3,sameChar
39,16,102,21,3,sameChar
39,17,106,21,3,sameChar
39,18,103,27,3,sameChar
39,19,104,22,3,sameChar
39,20,105,22,3,sameChar
39,21,106,21,2,sameChar
39,22,107,21,3,sameChar
39,23,108,21,3,sameChar
